Final result for Finals8 
Team                     W   D   L   GF  GA  GD  Pts
Italy                    1   0   0   4   0   4   3   
Algeria                  1   0   0   4   1   3   3   
Ecuador                  1   0   0   4   1   3   3   
Brazil(hosts)            1   0   0   4   2   2   3   
Russia                   1   0   0   6   5   1   3   
England                  1   0   0   4   3   1   3   
Switzerland              1   0   0   3   2   1   3   
Spain                    1   0   0   1   0   1   3   
Germany                  0   0   1   5   6   -1  0   
Argentina                0   0   1   3   4   -1  0   
Japan                    0   0   1   2   3   -1  0   
Honduras                 0   0   1   0   1   -1  0   
Holland                  0   0   1   2   4   -2  0   
Columbia                 0   0   1   1   4   -3  0   
Portugal                 0   0   1   1   4   -3  0   
Chile                    0   0   1   0   4   -4  0   

